,mrp,selling_price,discount_percent,customer_rating,total_reviews,page_views,ad_spend_inr,is_sale_season,is_weekend,inventory_level,units_sold,is_stockout,actual_demand
mrp,1.0,0.9676574241557165,0.007935129375057233,0.03582580712078418,0.02317452299332338,0.038577908977260836,0.02968017711242114,0.018067031285056483,0.002876296314248548,0.00569150934517629,0.019903956781664147,0.02045710381292204,0.026875289956705888
selling_price,0.9676574241557165,1.0,-0.17183461404117678,0.0422768244369659,0.023131198337194597,-0.06473763509724219,-0.07656294831534648,-0.0971076469059879,0.005818466437671471,-0.10078977030452453,-0.10405569138835077,0.02972598009453647,-0.10355779302352053
discount_percent,0.007935129375057233,-0.17183461404117678,1.0,-0.042634936965107395,0.037564566218211776,0.47936398513570067,0.5074818651869116,0.5858074532439995,-0.021918188121039846,0.516129637966937,0.614650691408071,-0.01511484442459755,0.652940479302005
customer_rating,0.03582580712078418,0.0422768244369659,-0.042634936965107395,1.0,0.033744163661548046,0.04167756362907513,0.03650675931077264,0.006946284481517449,-0.0329557940856848,0.06950663804280831,0.04487694160391655,-0.05937244824528518,0.038539730387577534
total_reviews,0.02317452299332338,0.023131198337194597,0.037564566218211776,0.033744163661548046,1.0,0.04067863772572311,0.042201652811052086,0.030877188582709977,-0.031526212712886595,0.05191934851098548,0.052977743802325464,-0.03561668609525226,0.03743911326519916
page_views,0.038577908977260836,-0.06473763509724219,0.47936398513570067,0.04167756362907513,0.04067863772572311,1.0,0.9637516688712339,0.8382143687492507,-0.018766655092193312,0.7730158199292865,0.9132842606345035,0.009778077281154065,0.9542437552602794
ad_spend_inr,0.02968017711242114,-0.07656294831534648,0.5074818651869116,0.03650675931077264,0.042201652811052086,0.9637516688712339,1.0,0.8741954954432474,-0.0044235401709179015,0.7724614723247432,0.9092251941413599,-0.0020344542399265476,0.950124275984131
is_sale_season,0.018067031285056483,-0.0971076469059879,0.5858074532439995,0.006946284481517449,0.030877188582709977,0.8382143687492507,0.8741954954432474,1.0,0.00383772318926116,0.7309728239793554,0.8772971511924813,0.016612019118001455,0.9344946226100366
is_weekend,0.002876296314248548,0.005818466437671471,-0.021918188121039846,-0.0329557940856848,-0.031526212712886595,-0.018766655092193312,-0.0044235401709179015,0.00383772318926116,1.0,-0.004615658767108084,-0.0024727722141003323,-0.006428415653132704,-0.009710453479377918
inventory_level,0.00569150934517629,-0.10078977030452453,0.516129637966937,0.06950663804280831,0.05191934851098548,0.7730158199292865,0.7724614723247432,0.7309728239793554,-0.004615658767108084,1.0,0.9069434762075783,-0.43812155236770906,0.8023569606865253
units_sold,0.019903956781664147,-0.10405569138835077,0.614650691408071,0.04487694160391655,0.052977743802325464,0.9132842606345035,0.9092251941413599,0.8772971511924813,-0.0024727722141003323,0.9069434762075783,1.0,-0.22580981699832214,0.9499331556003533
is_stockout,0.02045710381292204,0.02972598009453647,-0.01511484442459755,-0.05937244824528518,-0.03561668609525226,0.009778077281154065,-0.0020344542399265476,0.016612019118001455,-0.006428415653132704,-0.43812155236770906,-0.22580981699832214,1.0,0.002528814620818415
actual_demand,0.026875289956705888,-0.10355779302352053,0.652940479302005,0.038539730387577534,0.03743911326519916,0.9542437552602794,0.950124275984131,0.9344946226100366,-0.009710453479377918,0.8023569606865253,0.9499331556003533,0.002528814620818415,1.0
